DATE,LOCATION
2012-08-04,H
2012-08-10,H
2012-08-26,A
2012-09-01,H
2012-09-09,A
2012-09-14,H
2012-09-23,A
2012-09-28,H
2012-10-03,A
2012-10-07,A
2012-10-13,H
2012-10-21,A
2012-10-28,A
2012-11-03,H
2012-11-10,A
2012-11-17,H
2012-11-23,A
2012-12-01,A
2012-12-10,A
2013-03-01,A
2013-03-09,H
2013-03-28,A
2013-04-01,H
2013-04-06,A
2013-04-13,H
2013-04-16,A
2013-04-19,H
2013-04-24,H
2013-04-28,A
2013-05-03,H
2013-05-11,A
2013-05-18,H
2013-05-25,H
2013-07-20,A
2013-07-27,H
2013-08-10,A
2013-08-17,H
2013-08-24,A
2013-08-31,H
2013-09-03,A
2013-09-07,H
2013-09-13,A
2013-09-21,H
2013-09-28,H
2013-10-04,A
2013-10-19,H
2013-10-25,A
2013-11-02,H
2013-11-09,A
2013-11-23,H
2013-11-30,A
2013-12-07,H
2013-12-14,A
2013-12-21,H
2014-01-25,H
2014-02-01,A
2014-02-08,H
2014-02-15,A
2014-02-22,H
2014-02-28,A
2014-03-08,H
2014-03-15,A
2014-03-22,A
2014-03-26,H
2014-03-29,A
2014-04-05,H
2014-04-12,A
2014-04-19,H
2014-04-26,A
2014-05-03,H
2014-05-10,A
2014-07-26,H
2014-08-02,A
2014-08-06,H
2014-08-09,A
2014-08-17,H
2014-08-23,H
2014-08-26,A
2014-08-30,H
2014-09-06,A
2014-09-13,A
2014-09-20,H
2014-09-24,A
2014-09-27,H
2014-10-05,A
2014-10-18,H
2014-10-25,A
2014-11-01,H
2014-11-09,A
2014-11-22,H
2014-11-29,A
2014-12-06,A
2014-12-13,H
2014-12-20,A
2015-01-31,H
2015-02-07,A
2015-02-14,H
2015-02-21,A
2015-02-27,H
2015-03-07,H
2015-03-13,A
2015-03-21,H
2015-04-04,A
2015-04-11,H
2015-04-19,A
2015-04-25,H
2015-05-02,A
2015-05-09,H
2015-05-16,A
2015-05-23,H
2015-05-29,H
2015-06-02,A
2015-07-25,H
2015-08-02,A
2015-08-08,H
2015-08-15,H
2015-08-22,A
2015-08-25,H
2015-08-29,A
2015-09-05,H
2015-09-13,A
2015-09-19,H
2015-09-23,A
2015-09-26,A
2015-10-02,H
2015-10-17,A
2015-10-24,H
2015-10-31,A
2015-11-07,H
2015-11-20,A
2015-11-28,H
2015-12-05,A
2015-12-12,A
2015-12-18,H
2016-01-24,A
2016-01-30,H
2016-02-07,A
2016-02-13,H
2016-02-19,A
2016-02-27,H
2016-03-01,A
2016-03-05,H
2016-03-12,H
2016-03-20,A
2016-04-02,H
2016-04-09,A
2016-04-16,H
2016-04-23,A
2016-04-30,H
2016-05-07,A
2016-05-14,H
2016-07-30,H
2016-08-06,A
2016-08-09,H
2016-08-13,A
2016-08-27,H
2016-09-11,A
2016-09-16,H
2016-09-20,A
2016-09-24,H
2016-10-01,A
2016-10-15,H
2016-10-22,A
2016-10-29,A
2016-11-05,H
2016-11-19,A
2016-11-26,H
2016-12-03,A
2016-12-10,H
2016-12-17,A
2017-01-28,A
2017-02-04,H
2017-02-18,H
2017-02-26,A
2017-03-04,H
2017-03-10,A
2017-03-14,H
2017-03-18,A
2017-03-25,H
2017-03-28,A
2017-04-01,A
2017-04-05,H
2017-04-09,H
2017-04-15,A
2017-04-22,H
2017-04-29,A
2017-05-06,H
2017-05-13,A
2017-05-20,H
2017-07-01,H
2017-07-30,H
2017-08-04,A
2017-08-11,H
2017-08-20,H
2017-08-26,A
2017-08-31,H
2017-09-09,H
2017-09-15,A
2017-09-19,H
2017-09-22,A
2017-09-30,H
2017-10-06,H
2017-10-15,A
2017-10-21,H
2017-10-24,A
2017-10-28,A
2017-11-05,H
2017-11-09,H
2017-11-18,A
2017-11-25,H
2017-12-02,H
2017-12-08,A
2017-12-17,A
2018-01-23,H
2018-01-27,A
2018-02-03,H
2018-02-09,A
2018-02-17,H
2018-02-25,A
2018-03-03,H
2018-03-10,A
2018-03-16,H
2018-03-26,H
2018-04-01,A
2018-04-07,H
2018-04-14,A
2018-04-23,H
2018-04-29,A
2018-05-06,A
2018-05-13,H
2018-05-17,A
2018-05-21,H
2018-06-29,A
2018-07-04,A
2018-07-04,A
2018-07-07,A
2018-07-07,A
2018-07-19,H
2018-07-19,H
2018-07-21,A
2018-07-21,A
2018-08-03,A
2018-08-12,H
2018-08-19,A
2018-08-26,A
2018-09-03,H
2018-09-15,A
2018-09-22,H
2018-09-25,A
2018-09-28,H
2018-10-06,A
2018-10-11,H
2018-10-11,H
2018-10-20,H
2018-10-28,A
2018-10-31,H
2018-11-03,H
2018-11-09,A
2018-11-16,H
2018-11-16,H
2018-11-24,H
2018-12-02,A
2018-12-09,A
2018-12-14,H
2018-12-23,H
2019-01-22,H
2019-01-30,A
2019-02-03,H
2019-02-06,H
2019-02-10,A
2019-02-17,H
2019-02-23,A
2019-03-01,H
2019-03-09,A
2019-03-15,H
2019-03-21,A
2019-03-31,A
2019-04-06,H
2019-04-14,A
2019-04-20,H
2019-04-27,A
2019-05-05,H
2019-05-12,H
2019-05-19,A
2019-06-22,A
2019-06-26,A
2019-06-28,A
2019-07-03,A
2019-07-09,H
2019-07-13,A
2019-07-21,H
2019-09-05,A
2019-11-13,A
