jahr,monat,retail1,retail2
2012,January,88.6,87.8
2012,February,89.1,88.3
2012,March,89.3,88.4
2012,April,89.5,88.6
2012,May,89.8,89.0
2012,June,89.9,89.0
2012,July,90.1,89.2
2012,August,90.1,89.2
2012,September,90.3,89.5
2012,October,90.4,89.5
2012,November,90.8,90.0
2012,December,90.9,90.1
2013,January,91.1,90.3
2013,February,91.4,90.6
2013,March,91.7,90.8
2013,April,91.7,90.8
2013,May,91.9,91.0
2013,June,91.9,91.0
2013,July,92.2,91.4
2013,August,92.2,91.3
2013,September,92.4,91.6
2013,October,92.4,91.6
2013,November,92.6,91.8
2013,December,92.5,91.6
2014,January,92.7,91.8
2014,February,92.8,91.9
2014,March,92.9,92.0
2014,April,93.0,92.1
2014,May,93.2,92.3
2014,June,93.3,92.4
2014,July,93.6,92.8
2014,August,93.8,92.9
2014,September,93.8,92.9
2014,October,94.0,93.1
2014,November,93.9,93.0
2014,December,94.2,93.3
2015,January,94.4,93.5
2015,February,94.5,93.6
2015,March,94.8,93.9
2015,April,94.9,94.0
2015,May,94.9,94.0
2015,June,95.0,94.1
2015,July,95.2,94.3
2015,August,95.0,94.1
2015,September,94.8,93.9
2015,October,94.7,93.8
2015,November,94.7,93.8
2015,December,94.7,93.8
2016,January,94.8,93.9
2016,February,95.0,94.1
2016,March,95.0,94.1
2016,April,95.2,94.3
2016,May,95.2,94.3
2016,June,95.4,94.5
2016,July,95.2,94.3
2016,August,95.3,94.4
2016,September,95.5,94.6
2016,October,95.2,94.3
2016,November,95.6,94.7
2016,December,95.6,94.6
2017,January,95.6,94.7
2017,February,95.7,94.8
2017,March,95.7,94.8
2017,April,95.6,94.7
2017,May,95.9,95.0
2017,June,96.1,95.2
2017,July,96.1,95.2
2017,August,96.0,95.1
2017,September,96.1,95.2
2017,October,96.1,95.2
2017,November,96.3,95.4
2017,December,96.4,95.5
2018,January,96.8,95.9
2018,February,97.0,96.1
2018,March,96.8,95.9
2018,April,97.2,96.3
2018,May,97.2,96.3
2018,June,97.5,96.5
2018,July,97.2,96.3
2018,August,97.4,96.5
2018,September,97.4,96.5
2018,October,97.6,96.6
2018,November,98.0,97.0
2018,December,98.0,97.1
2019,January,98.2,97.3
2019,February,98.5,97.5
2019,March,98.6,97.7
2019,April,98.8,97.9
2019,May,99.0,98.0
2019,June,99.1,98.1
2019,July,99.3,98.3
2019,August,99.5,98.5
