Datum,Handballspiel
24/08/2013,Heimspiel
31/08/2013,Auswärtsspiel
07/09/2013,Auswärtsspiel
11/09/2013,Heimspiel
14/09/2013,Auswärtsspiel
18/09/2013,Heimspiel
25/09/2013,Heimspiel
05/10/2013,Heimspiel
09/10/2013,Auswärtsspiel
16/10/2013,Heimspiel
27/10/2013,Auswärtsspiel
06/11/2013,Heimspiel
10/11/2013,Auswärtsspiel
18/11/2013,Heimspiel
24/11/2013,Auswärtsspiel
27/11/2013,Heimspiel
08/12/2013,Auswärtsspiel
14/12/2013,Auswärtsspiel
19/12/2013,Heimspiel
21/12/2013,Heimspiel
26/12/2013,Heimspiel
04/02/2014,Auswärtsspiel
12/02/2014,Heimspiel
23/02/2014,Auswärtsspiel
01/03/2014,Auswärtsspiel
09/03/2014,Auswärtsspiel
16/03/2014,Heimspiel
23/03/2014,Auswärtsspiel
26/03/2014,Heimspiel
16/04/2014,Auswärtsspiel
30/04/2014,Heimspiel
04/05/2014,Auswärtsspiel
11/05/2014,Heimspiel
18/05/2014,Auswärtsspiel
23/05/2014,Auswärtsspiel
26/05/2014,Heimspiel
31/05/2014,Auswärtsspiel
03/09/2014,Auswärtsspiel
05/09/2014,Auswärtsspiel
14/09/2014,Heimspiel
24/09/2014,Auswärtsspiel
05/10/2014,Heimspiel
11/10/2014,Auswärtsspiel
15/10/2014,Heimspiel
25/10/2014,Auswärtsspiel
05/11/2014,Heimspiel
08/11/2014,Auswärtsspiel
12/11/2014,Heimspiel
19/11/2014,Auswärtsspiel
30/11/2014,Heimspiel
07/12/2014,Auswärtsspiel
14/12/2014,Heimspiel
20/12/2014,Auswärtsspiel
23/12/2014,Heimspiel
26/12/2014,Heimspiel
11/02/2015,Auswärtsspiel
22/02/2015,Heimspiel
25/02/2015,Heimspiel
01/03/2015,Auswärtsspiel
12/03/2015,Heimspiel
18/03/2015,Auswärtsspiel
29/03/2015,Auswärtsspiel
01/04/2015,Heimspiel
05/04/2015,Heimspiel
08/04/2015,Auswärtsspiel
22/04/2015,Heimspiel
05/05/2015,Heimspiel
15/05/2015,Auswärtsspiel
20/05/2015,Heimspiel
05/06/2015,Heimspiel
29/07/2015,Auswärtsspiel
03/08/2015,Auswärtsspiel
05/08/2015,Auswärtsspiel
15/08/2015,Heimspiel
16/08/2015,Auswärtsspiel
19/08/2015,Heimspiel
23/08/2015,Auswärtsspiel
02/09/2015,Heimspiel
06/09/2015,Auswärtsspiel
09/09/2015,Auswärtsspiel
13/09/2015,Auswärtsspiel
17/09/2015,Auswärtsspiel
20/09/2015,Heimspiel
23/09/2015,Auswärtsspiel
27/09/2015,Heimspiel
30/09/2015,Heimspiel
03/10/2015,Heimspiel
07/10/2015,Auswärtsspiel
10/10/2015,Auswärtsspiel
14/10/2015,Heimspiel
17/10/2015,Auswärtsspiel
21/10/2015,Heimspiel
28/10/2015,Auswärtsspiel
01/11/2015,Auswärtsspiel
12/11/2015,Heimspiel
15/11/2015,Heimspiel
18/11/2015,Auswärtsspiel
21/11/2015,Auswärtsspiel
25/11/2015,Heimspiel
28/11/2015,Auswärtsspiel
01/12/2015,Heimspiel
06/12/2015,Heimspiel
09/12/2015,Heimspiel
13/12/2015,Auswärtsspiel
16/12/2015,Heimspiel
19/12/2015,Auswärtsspiel
23/12/2015,Heimspiel
27/12/2015,Auswärtsspiel
10/02/2016,Heimspiel
14/02/2016,Auswärtsspiel
17/02/2016,Heimspiel
