jahr,monat,index,index_year_month,index_month
2012,January,95.7,2.4,-0.4
2012,February,96.5,2.6,0.8
2012,March,96.9,2.3,0.4
2012,April,97.0,2.2,0.1
2012,May,96.8,2.1,-0.2
2012,June,96.6,1.9,-0.2
2012,July,97.0,1.9,0.4
2012,August,97.4,2.3,0.4
2012,September,97.4,2.2,0.0
2012,October,97.4,2.1,0.0
2012,November,97.2,1.9,-0.2
2012,December,98.1,2.1,0.9
2013,January,97.5,1.9,-0.6
2013,February,98.2,1.8,0.7
2013,March,98.7,1.9,0.5
2013,April,98.1,1.1,-0.6
2013,May,98.3,1.5,0.2
2013,June,98.5,2.0,0.2
2013,July,98.9,2.0,0.4
2013,August,98.9,1.5,0.0
2013,September,98.9,1.5,0.0
2013,October,98.6,1.2,-0.3
2013,November,98.8,1.6,0.2
2013,December,99.3,1.2,0.5
2014,January,98.6,1.1,-0.7
2014,February,99.2,1.0,0.6
2014,March,99.4,0.7,0.2
2014,April,99.2,1.1,-0.2
2014,May,99.0,0.7,-0.2
2014,June,99.4,0.9,0.4
2014,July,99.6,0.7,0.2
2014,August,99.7,0.8,0.1
2014,September,99.7,0.8,0.0
2014,October,99.3,0.7,-0.4
2014,November,99.3,0.5,0.0
2014,December,99.4,0.1,0.1
2015,January,98.1,-0.5,-1.3
2015,February,99.0,-0.2,0.9
2015,March,99.7,0.3,0.7
2015,April,100.2,1.0,0.5
2015,May,100.6,1.6,0.4
2015,June,100.5,1.1,-0.1
2015,July,100.9,1.3,0.4
2015,August,100.8,1.1,-0.1
2015,September,100.5,0.8,-0.3
2015,October,100.5,1.2,0.0
2015,November,99.5,0.2,-1.0
2015,December,99.6,0.2,0.1
2016,January,98.5,0.4,-1.1
2016,February,98.9,-0.1,0.4
2016,March,99.8,0.1,0.9
2016,April,99.9,-0.3,0.1
2016,May,100.5,-0.1,0.6
2016,June,100.6,0.1,0.1
2016,July,101.2,0.3,0.6
2016,August,101.1,0.3,-0.1
2016,September,101.1,0.6,0.0
2016,October,101.2,0.7,0.1
2016,November,100.3,0.8,-0.9
2016,December,101.2,1.6,0.9
2017,January,100.2,1.7,-1.0
2017,February,101.0,2.1,0.8
2017,March,101.3,1.5,0.3
2017,April,101.9,2.0,0.6
2017,May,101.8,1.3,-0.1
2017,June,102.3,1.7,0.5
2017,July,102.9,1.7,0.6
2017,August,103.0,1.9,0.1
2017,September,103.0,1.9,0.0
2017,October,102.7,1.5,-0.3
2017,November,102.0,1.7,-0.7
2017,December,102.7,1.5,0.7
2018,January,101.7,1.5,-1.0
2018,February,102.2,1.2,0.5
2018,March,103.0,1.7,0.8
2018,April,103.2,1.3,0.2
2018,May,104.3,2.5,1.1
2018,June,104.4,2.1,0.1
2018,July,105.2,2.2,0.8
2018,August,105.2,2.1,0.0
2018,September,105.3,2.2,0.1
2018,October,105.4,2.6,0.1
2018,November,104.2,2.2,-1.1
2018,December,104.4,1.7,0.2
2019,January,103.4,1.7,-1.0
2019,February,103.9,1.7,0.5
2019,March,104.4,1.4,0.5
2019,April,105.4,2.1,1.0
2019,May,105.7,1.3,0.3
2019,June,106.0,1.5,0.3
2019,July,106.4,1.1,0.4
2019,August,106.3,1.0,-0.1
